Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
MacGyver,1977,5.4,"19,592","Action, Adventure, Drama",43 ,Series,TV-14,95,None,Moderate,Mild,Mild,Mild
On the Verge,1977,6.5,"2,065",Comedy,35 ,Series,TV-14,12,Moderate,None,No Rate,No Rate,None
Clueless,1995,6.9,"198,808","Comedy, Romance",97 ,Film,PG-13,-,Mild,None,Mild,Mild,None
Baby Driver,2017,7.6,"480,085","Action, Crime, Drama",113 ,Film,R,-,None,Moderate,Severe,Mild,Moderate
The Ice Road,2021,5.6,"26,526","Action, Adventure, Drama",109 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
Harry Potter and the Prisoner of Azkaban,2004,7.9,"582,354","Adventure, Family, Fantasy",142 ,Film,PG,-,None,Moderate,Mild,Mild,Moderate
The Outsiders,1983,7.1,"80,102","Crime, Drama",91 ,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
The Last House on the Left,2009,6.5,"89,319","Horror, Thriller",110 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
The Lost Daughter,2021,6.6,371,Drama,121 ,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
Escape the Undertaker,2021,4.1,557,"Short, Mystery",31 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Scott Pilgrim vs. the World,2010,7.5,"402,891","Action, Comedy, Fantasy",112 ,Film,PG-13,-,Mild,Mild,Mild,Mild,None
The Mauritanian,2021,7.5,"38,934","Drama, Thriller",129 ,Film,R,-,Mild,Moderate,Moderate,Mild,Severe
American Pie,1999,7.0,"390,360",Comedy,95 ,Film,R,-,Severe,None,Moderate,Moderate,None
Halloween 5: The Revenge of Michael Myers,1989,5.1,"37,734","Horror, Thriller",96 ,Film,R,-,Moderate,Severe,Mild,Mild,Severe
12 Angry Men,1957,9.0,"732,301","Crime, Drama",96 ,Film,Approved,-,None,None,None,Mild,Mild
Doctor Strange in the Multiverse of Madness,2022,No Rate,No Votes,"Action, Adventure, Fantasy",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Death Proof,2007,7.0,"279,711","Action, Thriller",127 ,Film,TV-MA,-,Mild,Severe,Severe,Moderate,Moderate
Atonement,2007,7.8,"263,578","Drama, Mystery, Romance",123 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
Longmire,2007,8.3,"31,706","Action, Crime, Drama",60 ,Series,TV-14,63,Mild,Moderate,Mild,Moderate,Mild
The Avengers,2012,8.0,"1,311,358","Action, Adventure, Sci-Fi",143 ,Film,PG-13,-,None,Moderate,Mild,Mild,Mild
Suedi,2021,6.4,"2,081","Comedy, Drama",89 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
NCIS: New Orleans,2021,6.8,"16,654","Action, Crime, Drama",42 ,Series,TV-14,155,Mild,Moderate,Mild,Moderate,Moderate
Naruto,2021,8.3,"83,968","Animation, Action, Adventure",24 ,Series,TV-PG,220,Mild,Moderate,Mild,Mild,Moderate
Moonrise Kingdom,2012,7.8,"332,257","Comedy, Drama, Romance",94 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
Clue,1985,7.3,"90,668","Comedy, Crime, Mystery",94 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
El hoyo,2019,7.0,"191,553","Horror, Sci-Fi, Thriller",94 ,Film,TV-MA,-,Moderate,Severe,Mild,Mild,Severe
In the Heights,2021,7.4,"35,374","Drama, Musical, Romance",143 ,Film,E,-,Mild,None,Mild,Mild,None
Kamisama no iu tôri,2014,6.4,"5,725","Adventure, Horror, Sci-Fi",117 ,Film,TV-MA,-,None,Severe,Mild,None,Moderate
Altered Carbon,2014,8.0,"152,255","Action, Drama, Sci-Fi",60 ,Series,TV-MA,18,Severe,Severe,Moderate,Moderate,Moderate
SAS: Red Notice,2021,5.1,"14,731","Action, Thriller",124 ,Film,R,-,None,Moderate,Moderate,None,Moderate
What Is Life Worth,2020,6.8,"9,296","Biography, Drama, History",118 ,Film,PG-13,-,None,None,Mild,None,Mild
Scary Stories to Tell in the Dark,2019,6.2,"68,710","Adventure, Horror, Mystery",108 ,Film,PG-13,-,None,Moderate,Mild,None,Severe
Enterprise,2019,7.5,"49,317","Action, Adventure, Drama",60 ,Series,TV-PG,97,Mild,Mild,Mild,None,Mild
Deadwood,2019,8.6,"99,699","Crime, Drama, History",55 ,Series,TV-MA,36,Severe,Severe,Severe,Severe,Moderate
No Sudden Move,2021,6.5,"23,345","Crime, Drama, Mystery",115 ,Film,R,-,None,Moderate,Moderate,Moderate,Moderate
The Neighborhood,2021,6.4,"5,931",Comedy,30 ,Series,TV-PG,67,Mild,Mild,Mild,Mild,None
Red Notice,2021,No Rate,No Votes,"Action, Comedy, Crime",None,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
Barry,2021,8.3,"54,418","Action, Comedy, Crime",30 ,Series,TV-MA,18,Mild,Severe,Severe,Mild,Moderate
The Irishman,2019,7.8,"353,241","Biography, Crime, Drama",209 ,Film,R,-,None,Severe,Severe,Moderate,Moderate
Step Brothers,2008,6.9,"279,245",Comedy,98 ,Film,R,-,Moderate,Mild,Severe,Mild,None
BAC Nord,2020,6.9,"5,294","Action, Crime, Thriller",105 ,Film,TV-MA,-,Mild,Moderate,No Rate,Moderate,No Rate
Charlie and the Chocolate Factory,2005,6.6,"448,686","Adventure, Comedy, Family",115 ,Film,PG,-,None,Mild,Mild,None,Moderate
Broadchurch,2005,8.4,"103,243","Crime, Drama, Mystery",48 ,Series,TV-MA,24,Mild,Moderate,Moderate,Mild,Moderate
Dunkirk,2017,7.8,"598,523","Action, Drama, History",106 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Severe
Firefly,2017,9.0,"252,106","Adventure, Drama, Sci-Fi",44 ,Series,TV-14,14,Moderate,Moderate,Mild,Mild,Moderate
Aquaman,2018,6.9,"417,971","Action, Adventure, Fantasy",143 ,Film,PG-13,-,None,Moderate,Mild,Mild,Mild
Cashback,2006,7.1,"85,011","Comedy, Drama, Romance",102 ,Film,R,-,Severe,Mild,Moderate,Mild,Mild
The Boss Baby: Family Business,2021,5.9,"11,863","Animation, Adventure, Comedy",107 ,Film,E,-,Mild,Mild,Mild,None,Mild
The Living Daylights,1987,6.7,"93,814","Action, Adventure, Thriller",130 ,Film,PG,-,Mild,Moderate,Mild,Mild,Mild
28 Days Later...,2002,7.6,"393,805","Drama, Horror, Sci-Fi",113 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
John Wick: Chapter 4,2022,No Rate,No Votes,"Action, Crime, Thriller",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Invasion,2022,No Rate,No Votes,"Drama, Fantasy, Sci-Fi",None,Series,TV-MA,10,No Rate,No Rate,No Rate,No Rate,No Rate
The King of Queens,2022,7.3,"78,594",Comedy,22 ,Series,TV-PG,207,Mild,None,Mild,Mild,None
American Dad!,2022,7.3,"121,136","Animation, Comedy",22 ,Series,TV-14,322,Moderate,Severe,Moderate,Moderate,Moderate
Night Hunter,2018,5.9,"18,222",Thriller,98 ,Film,R,-,None,Moderate,Severe,Mild,Moderate
Love and Monsters,2020,7.0,"109,343","Action, Adventure, Comedy",109 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
The Bold Type,2020,7.9,"17,683","Comedy, Drama",45 ,Series,TV-14,52,Moderate,None,Mild,Mild,None
Doctor Strange,2016,7.5,"647,690","Action, Adventure, Fantasy",115 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
Wrong Turn,2021,5.5,"22,824","Horror, Thriller",109 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
Soul,2020,8.1,"281,089","Animation, Adventure, Comedy",100 ,Film,PG,-,None,None,None,None,Mild
Avengers: Age of Ultron,2015,7.3,"794,220","Action, Adventure, Sci-Fi",141 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Silicon Valley,2015,8.5,"135,665",Comedy,28 ,Series,TV-MA,53,Moderate,Mild,Severe,Moderate,None
There Will Be Blood,2007,8.2,"546,904",Drama,158 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
Maleficent,2014,7.0,"358,078","Action, Adventure, Family",97 ,Film,PG,-,None,Moderate,None,None,Mild
Cars,2006,7.1,"388,952","Animation, Adventure, Comedy",117 ,Film,G,-,None,None,Mild,None,Mild
"Beverly Hills, 90210",2006,6.4,"32,848","Drama, Romance",44 ,Series,TV-PG,292,Mild,Mild,Mild,Moderate,Moderate
Designated Survivor,2006,7.5,"83,143","Action, Drama, Mystery",60 ,Series,TV-14,53,Moderate,Mild,Moderate,Mild,Mild
Oz,2006,8.7,"93,783","Crime, Drama, Thriller",55 ,Series,TV-MA,56,Severe,Severe,Severe,Severe,Severe
Premonition,2007,5.9,"75,465","Drama, Fantasy, Mystery",96 ,Film,PG-13,-,None,Mild,Mild,None,Mild
A Nightmare on Elm Street 3: Dream Warriors,1987,6.6,"75,796","Fantasy, Horror",96 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Severe
The Witches,2020,5.3,"33,099","Adventure, Comedy, Family",106 ,Film,PG,-,None,Moderate,None,Mild,Moderate
SpongeBob SquarePants,2020,8.2,"89,772","Animation, Comedy, Family",23 ,Series,TV-Y,289,Mild,Mild,Mild,None,Moderate
iZombie,2020,7.8,"63,508","Comedy, Crime, Drama",42 ,Series,TV-14,71,Mild,Moderate,Mild,Mild,Mild
The Great British Bake Off,2020,8.5,"8,422",Reality-TV,60 ,Series,TV-PG,153,None,None,Mild,None,None
Iron Man,2008,7.9,"986,931","Action, Adventure, Sci-Fi",126 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
The Village,2004,6.5,"251,685","Drama, Mystery, Thriller",108 ,Film,PG-13,-,None,Moderate,None,None,Moderate
Hunter x Hunter,2004,9.0,"73,615","Animation, Action, Adventure",24 ,Series,TV-14,148,Mild,Moderate,Mild,Mild,Severe
Fuimos canciones,2021,5.3,"1,015","Comedy, Music, Romance",110 ,Film,TV-MA,-,Moderate,No Rate,No Rate,No Rate,No Rate
Private Practice,2021,6.7,"24,189","Comedy, Drama, Romance",60 ,Series,TV-14,112,Moderate,Moderate,Mild,Moderate,Mild
300,2006,7.6,"758,693","Action, Drama",117 ,Film,R,-,Moderate,Severe,Mild,None,Severe
Thor,2011,7.0,"786,140","Action, Adventure, Fantasy",115 ,Film,PG-13,-,None,Mild,Mild,Mild,Mild
The Lobster,2015,7.2,"235,976","Comedy, Drama, Romance",119 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
Transformers,2007,7.0,"614,130","Action, Adventure, Sci-Fi",144 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
Batwoman,2007,3.4,"38,496","Action, Adventure, Crime",45 ,Series,TV-14,43,Mild,Moderate,Mild,Mild,Moderate
The Chosen,2007,9.6,"21,759","Drama, History",54 ,Series,TV-PG,17,None,None,None,None,Mild
Ray Donovan,2007,8.3,"80,858","Crime, Drama",60 ,Series,TV-MA,82,Severe,Severe,Severe,Severe,Moderate
Sense8,2007,8.3,"146,144","Drama, Mystery, Sci-Fi",60 ,Series,TV-MA,24,Severe,Moderate,Moderate,Moderate,Moderate
The Boy in the Striped Pyjamas,2008,7.8,"202,382","Drama, History, War",94 ,Film,PG-13,-,None,Moderate,None,Mild,Severe
Finch,2021,No Rate,No Votes,"Drama, Sci-Fi",115 ,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
Annette,2021,6.4,"9,794","Drama, Musical, Romance",141 ,Film,R,-,Severe,Moderate,Moderate,Moderate,Moderate
Training Day,2001,7.7,"410,765","Crime, Drama, Thriller",122 ,Film,R,-,Moderate,Severe,Severe,Severe,Severe
The VelociPastor,2018,5.1,"4,727","Action, Adventure, Comedy",75 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Raiders of the Lost Ark,1981,8.4,"919,273","Action, Adventure",115 ,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
CSI: Miami,1981,6.4,"55,214","Action, Crime, Drama",43 ,Series,TV-14,232,Moderate,Severe,Mild,Moderate,Moderate
Pearl Harbor,2001,6.2,"320,925","Action, Drama, History",183 ,Film,PG-13,-,Mild,Severe,Moderate,Mild,Severe
Matilda,1996,6.9,"139,078","Comedy, Family, Fantasy",98 ,Film,PG,-,None,Mild,Mild,Mild,Moderate
The Amazing Spider-Man 2,2014,6.6,"437,313","Action, Adventure, Fantasy",142 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
Love Life,2014,7.5,"10,490","Comedy, Romance",35 ,Series,TV-MA,20,Moderate,None,Moderate,Mild,No Rate
Coco,2017,8.4,"435,130","Animation, Adventure, Comedy",105 ,Film,PG,-,None,Mild,None,Mild,Mild
Desperado,1995,7.2,"178,691","Action, Crime, Thriller",104 ,Film,R,-,Moderate,Severe,Severe,Mild,Moderate
Judas and the Black Messiah,2021,7.5,"62,197","Biography, Drama, History",126 ,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
Grimm,2021,7.8,"113,143","Crime, Drama, Fantasy",45 ,Series,TV-14,123,Mild,Severe,Mild,Mild,Moderate
Gomorra: La serie,2021,8.7,"33,068","Crime, Drama, Thriller",55 ,Series,TV-MA,58,Moderate,Severe,Severe,Severe,Severe
Alita: Battle Angel,2019,7.3,"247,942","Action, Adventure, Sci-Fi",122 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
The Godfather: Part II,1974,9.0,"1,187,439","Crime, Drama",202 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
Pitch Perfect,2012,7.1,"290,316","Comedy, Music, Romance",112 ,Film,PG-13,-,Mild,Mild,Mild,Mild,None
Prodigal Son,2012,7.7,"18,018","Crime, Drama, Mystery",44 ,Series,TV-14,33,Mild,Severe,Mild,Mild,Severe
Captain America: The First Avenger,2011,6.9,"785,169","Action, Adventure, Sci-Fi",124 ,Film,PG-13,-,Mild,Moderate,Mild,None,Mild
The Dreamers,2003,7.2,"116,531","Drama, Romance",115 ,Film,NC-17,-,Severe,Mild,Moderate,Moderate,None
Babylon 5,2003,8.3,"29,541","Action, Adventure, Drama",45 ,Series,TV-PG,111,Mild,Moderate,Mild,Mild,Moderate
American Gods,2003,7.7,"81,447","Drama, Fantasy, Mystery",60 ,Series,TV-MA,26,Severe,Severe,Severe,Moderate,Moderate
Futurama,2003,8.4,"221,472","Animation, Comedy, Sci-Fi",22 ,Series,TV-14,140,Mild,Moderate,Mild,Moderate,Mild
The Dry,2020,6.9,"16,638","Crime, Drama, Mystery",117 ,Film,R,-,None,Moderate,Moderate,Mild,Moderate
Eternal Sunshine of the Spotless Mind,2004,8.3,"951,057","Drama, Romance, Sci-Fi",108 ,Film,R,-,Mild,Mild,Moderate,Mild,Mild
Spider-Man 2,2004,7.3,"578,084","Action, Adventure, Sci-Fi",127 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
The Martian,2015,8.0,"797,773","Adventure, Drama, Sci-Fi",144 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
Wonder Woman,2017,7.4,"613,054","Action, Adventure, Fantasy",141 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
StartUp,2017,7.9,"25,438","Crime, Thriller",44 ,Series,Not Rated,30,Moderate,Moderate,Moderate,Moderate,Moderate
Scream 4,2011,6.2,"133,751","Horror, Mystery",111 ,Film,R,-,Mild,Severe,Severe,Moderate,Severe
Love Hard,2021,No Rate,No Votes,"Comedy, Romance",104 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Jumanji,1995,7.0,"324,368","Adventure, Comedy, Family",104 ,Film,PG,-,None,Mild,Mild,Mild,Moderate
The Guest,2014,6.7,"96,530","Action, Mystery, Thriller",100 ,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
Ah-ga-ssi,2016,8.1,"128,983","Drama, Romance, Thriller",145 ,Film,Not Rated,-,Severe,Moderate,Severe,Mild,Moderate
The Last of the Mohicans,1992,7.7,"159,819","Action, Adventure, Drama",112 ,Film,R,-,Mild,Moderate,None,None,Moderate
The Medium,2021,6.6,"1,525",Horror,130 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Avatar 2,2022,No Rate,No Votes,"Action, Adventure, Sci-Fi",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Watchmen,2009,7.6,"527,291","Action, Drama, Mystery",162 ,Film,R,-,Severe,Severe,Severe,Mild,Severe
Snowpiercer,2013,7.1,"341,519","Action, Drama, Sci-Fi",126 ,Film,R,-,None,Severe,Moderate,Moderate,Severe
Aliens,1986,8.3,"680,473","Action, Adventure, Sci-Fi",137 ,Film,R,-,None,Moderate,Moderate,Mild,Severe
Mother!,2017,6.6,"206,014","Drama, Horror, Mystery",121 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
John Wick: Chapter 3 - Parabellum,2019,7.4,"307,504","Action, Crime, Thriller",130 ,Film,R,-,None,Severe,Moderate,Mild,Severe
Miraculous: Tales of Ladybug & Cat Noir,2019,7.7,"9,027","Animation, Action, Adventure",20 ,Series,TV-Y7,111,None,Mild,None,None,Mild
Green Book,2018,8.2,"429,657","Biography, Comedy, Drama",130 ,Film,PG-13,-,Mild,Mild,Moderate,Moderate,Mild
Tommy Boy,1995,7.1,"81,456","Adventure, Comedy",97 ,Film,PG-13,-,Mild,Mild,Mild,Mild,None
Kill Bill: Vol. 1,2003,8.1,"1,049,398","Action, Crime, Drama",111 ,Film,R,-,Mild,Severe,Severe,Mild,Moderate
It Follows,2014,6.8,"223,147","Horror, Mystery, Thriller",100 ,Film,R,-,Severe,Moderate,Moderate,Mild,Severe
Angel,2014,7.9,"67,263","Action, Drama, Fantasy",44 ,Series,TV-14,111,Mild,Moderate,Mild,Mild,Moderate
Gemini Man,2019,5.7,"103,621","Action, Drama, Sci-Fi",117 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Mild
Chuck,2019,8.2,"131,783","Action, Comedy, Drama",43 ,Series,TV-14,91,Mild,Moderate,Mild,Mild,Mild
Vacation Friends,2021,6.3,"14,822","Adventure, Comedy",103 ,Film,R,-,Mild,Mild,Severe,Severe,None
Snatch,2000,8.3,"813,924","Comedy, Crime",104 ,Film,R,-,Mild,Moderate,Severe,Mild,Mild
Black Sails,2000,8.2,"98,066","Adventure, Drama",56 ,Series,TV-MA,38,Severe,Severe,Severe,Moderate,Severe
"Il buono, il brutto, il cattivo",1966,8.8,"720,032",Western,161 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
The Notebook,2004,7.8,"542,082","Drama, Romance",123 ,Film,PG-13,-,Moderate,Mild,Mild,Mild,Mild
Castlevania,2004,8.3,"55,247","Animation, Action, Adventure",23 ,Series,TV-MA,32,Moderate,Severe,Severe,Mild,Severe
The Hobbit: An Unexpected Journey,2012,7.8,"782,308","Adventure, Fantasy",169 ,Film,PG-13,-,None,Moderate,None,Mild,Moderate
Split,2016,7.3,"457,276","Horror, Thriller",117 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Ginny & Georgia,2016,7.5,"38,432","Comedy, Drama",None,Series,TV-14,20,Moderate,Mild,Moderate,Moderate,Mild
Slasher,2016,6.7,"13,030","Crime, Drama, Horror",60 ,Series,Not Rated,32,Severe,Severe,Severe,Moderate,Severe
The Descent,2005,7.2,"211,927","Adventure, Horror, Thriller",99 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
The Usual Suspects,1995,8.5,"1,031,650","Crime, Mystery, Thriller",106 ,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
Edge of Tomorrow,2014,7.9,"633,486","Action, Adventure, Sci-Fi",113 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Reign,2014,7.5,"45,988","Drama, Fantasy",42 ,Series,TV-14,78,Moderate,Moderate,Mild,Mild,Moderate
Emily in Paris,2014,7.0,"59,234","Comedy, Drama, Romance",30 ,Series,TV-MA,20,Moderate,None,Mild,Mild,None
Nancy Drew,2014,6.4,"6,588","Drama, Fantasy, Horror",44 ,Series,TV-14,40,Mild,Mild,Mild,Mild,Moderate
Nightmare Alley,2021,No Rate,No Votes,"Action, Crime, Drama",139 ,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
Uncharted,2022,No Rate,No Votes,"Action, Adventure",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Godfather of Harlem,2022,8.0,"10,512","Crime, Drama",55 ,Series,TV-MA,20,Moderate,Severe,Severe,Severe,Moderate
Jolt,2021,5.6,"23,407","Action, Thriller",91 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
Layer Cake,2004,7.3,"173,698","Action, Crime, Drama",105 ,Film,R,-,Moderate,Severe,Severe,Severe,Moderate
Stardust,2007,7.6,"263,530","Adventure, Family, Fantasy",127 ,Film,PG-13,-,Mild,Moderate,None,Mild,Moderate
Dark Shadows,2012,6.2,"255,634","Comedy, Fantasy, Horror",113 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Tom & Jerry,2021,5.3,"29,886","Animation, Adventure, Comedy",101 ,Film,PG,-,None,Mild,None,Mild,Mild
Srpski film,2010,5.0,"61,013","Horror, Mystery, Thriller",104 ,Film,NC-17,-,Severe,Severe,Severe,Severe,Severe
The Matrix Revolutions,2003,6.8,"470,439","Action, Sci-Fi",129 ,Film,R,-,Mild,Severe,Mild,Mild,Moderate
The Kominsky Method,2003,8.2,"35,638","Comedy, Drama",30 ,Series,TV-MA,22,Mild,None,Moderate,Mild,None
Cast Away,2000,7.8,"553,904","Adventure, Drama, Romance",143 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
Power,2000,8.1,"42,385","Crime, Drama",50 ,Series,TV-MA,63,Severe,Severe,Severe,Severe,Moderate
Shetland,2000,8.2,"12,951","Crime, Drama, Mystery",60 ,Series,TV-14,34,None,No Rate,Mild,No Rate,No Rate
One Flew Over the Cuckoo's Nest,1975,8.7,"956,596",Drama,133 ,Film,R,-,Mild,Moderate,Severe,Mild,Severe
A Nightmare on Elm Street,2010,5.2,"96,348","Crime, Drama, Horror",95 ,Film,R,-,Mild,Severe,Moderate,Moderate,Severe
Jujutsu Kaisen,2010,8.7,"31,393","Animation, Action, Adventure",24 ,Series,TV-MA,24,Mild,Severe,Mild,None,Severe
Transformers: Rise of the Beasts,2022,No Rate,No Votes,"Action, Adventure, Sci-Fi",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Nanatsu no taizai,2022,8.0,"27,724","Animation, Action, Adventure",24 ,Series,TV-14,100,Moderate,Moderate,Mild,Mild,Moderate
Warrior,2022,8.4,"22,477","Action, Crime, Drama",60 ,Series,TV-MA,21,Severe,Severe,Severe,Moderate,Moderate
Drive,2011,7.8,"597,089","Crime, Drama",100 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
Batman Begins,2005,8.2,"1,364,161","Action, Adventure",140 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
2001: A Space Odyssey,1968,8.3,"631,754","Adventure, Sci-Fi",149 ,Film,G,-,None,Mild,None,None,Moderate
The Black Phone,2021,8.9,132,Horror,102 ,Film,R,-,No Rate,Moderate,No Rate,No Rate,No Rate
Resident Alien,2021,8.2,"25,350","Comedy, Drama, Mystery",44 ,Series,TV-14,11,Mild,Moderate,Moderate,Mild,Mild
E.T. the Extra-Terrestrial,1982,7.8,"388,301","Family, Sci-Fi",115 ,Film,PG,-,None,Mild,Mild,Mild,Moderate
Furia,1982,6.8,618,Thriller,None,Series,None,8,No Rate,No Rate,No Rate,No Rate,No Rate
Hotel Transylvania,2012,7.1,"237,433","Animation, Adventure, Comedy",91 ,Film,PG,-,None,Mild,None,None,Mild
The End of the F***ing World,2012,8.1,"164,023","Adventure, Comedy, Crime",25 ,Series,TV-MA,16,Moderate,Severe,Severe,Moderate,Moderate
Sinister,2012,6.8,"234,119","Horror, Mystery, Thriller",110 ,Film,R,-,None,Severe,Mild,Mild,Severe
The Nanny,2012,6.9,"40,680","Comedy, Family, Romance",22 ,Series,TV-PG,145,Mild,None,Mild,Mild,None
The Lovely Bones,2009,6.7,"164,126","Drama, Fantasy, Thriller",135 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Oculus,2013,6.5,"122,621","Horror, Mystery",104 ,Film,R,-,Mild,Severe,Mild,None,Severe
Into the Wild,2007,8.1,"595,966","Adventure, Biography, Drama",148 ,Film,R,-,Moderate,Mild,Mild,Mild,Moderate
The Newsroom,2007,8.6,"109,313",Drama,55 ,Series,TV-MA,25,None,None,Moderate,Mild,Mild
The Ring,2002,7.1,"333,806","Horror, Mystery",115 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Severe
Brokeback Mountain,2005,7.7,"339,299","Drama, Romance",134 ,Film,R,-,Severe,Moderate,Moderate,Mild,Moderate
The Cave,2005,5.1,"37,335","Action, Adventure, Horror",97 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
The Big Lebowski,1998,8.1,"768,274","Comedy, Crime, Sport",117 ,Film,R,-,Moderate,Mild,Severe,Moderate,Mild
Death on the Nile,2022,No Rate,No Votes,"Crime, Drama, Mystery",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Rome,2022,8.7,"161,647","Action, Drama, History",52 ,Series,TV-MA,22,Severe,Severe,Severe,Mild,Moderate
Adult Material,2020,6.8,"1,448","Comedy, Drama, Romance",198 ,Series,TV-MA,4,Severe,Moderate,Severe,Moderate,Moderate
Mulholland Dr.,2001,7.9,"338,554","Drama, Mystery, Thriller",147 ,Film,R,-,Severe,Moderate,Mild,Mild,Severe
Fright Night,2011,6.4,"103,008","Comedy, Horror",106 ,Film,R,-,Mild,Severe,Moderate,Moderate,Severe
Fantastic Beasts: The Secrets of Dumbledore,2022,No Rate,No Votes,"Adventure, Family, Fantasy",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Uncut Gems,2019,7.4,"247,210","Crime, Drama, Thriller",135 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Severe
Miss Peregrine's Home for Peculiar Children,2016,6.7,"163,433","Adventure, Drama, Family",127 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
Hidden Figures,2016,7.8,"212,969","Biography, Drama, History",127 ,Film,PG,-,None,None,Mild,Mild,Mild
Cloud Atlas,2012,7.4,"352,679","Action, Drama, Mystery",172 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
Morbius,2022,No Rate,No Votes,"Action, Adventure, Drama",None,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
Carnival Row,2022,7.8,"52,649","Crime, Drama, Fantasy",56 ,Series,TV-MA,16,Severe,Severe,Severe,Mild,Moderate
Incendies,2010,8.3,"163,134","Drama, Mystery, War",131 ,Film,R,-,Mild,Moderate,Mild,None,Severe
Are You Afraid of the Dark?,2010,7.2,"1,884","Adventure, Drama, Family",44 ,Series,TV-PG,10,None,Mild,Mild,Mild,Moderate
Bhoot Police,2021,7.0,"22,924","Comedy, Horror",129 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Don't Worry Darling,2022,No Rate,No Votes,"Crime, Drama, Horror",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Alias,2022,7.6,"47,858","Action, Drama, Mystery",42 ,Series,TV-14,105,Mild,Moderate,Mild,Mild,Moderate
Luna Park,2022,6.4,278,"Drama, Romance",None,Series,TV-MA,6,No Rate,No Rate,No Rate,No Rate,No Rate
Suspiria,2018,6.7,"68,836","Drama, Fantasy, Horror",152 ,Film,R,-,Severe,Severe,Moderate,Mild,Severe
